Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)","Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O),Type of analysis (R),,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
123,The effect of visual search efficiency on response preparation,"GF Woodman, MS Kang, K Thompson, JD Schall",PS,19,2,128-36,,"Animals, Macaca mulatta, Macaca radiata, Neurophysiology, Reaction Time, Saccades [physiology], Visual Fields [physiology], Visual Perception",4,,Woodman,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,1,t(38) = 14.47,4,<.001,,,t-test,correlation,when search is more difficult movement related activity began after a delay that was equal to the difference in RT between search conditions,r^2 = .846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,4,t,is,1,38,14.47,<,1.00E-03,4.85E-17,4.85E-17,,0.919994961,,,,,,,,,,,,,,,,,,,,,,,,
124,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.,"GP Lau, AC Kay, SJ Spencer",PS,19,1,20-jan,https://osf.io/fxqsk/,"Adolescent, Adult, Canada, Cross-Cultural Comparison, Culture, Humans, Male, Politics, Prejudice, Rationalization, Social Change, Social Desirability, Socioeconomic Factors, Stereotyping",3,1,Lau,54,University of Waterloo,Spencer,11032,University of Waterloo,Stieger,1038,University of Konstanz,Stieger,1038,University of Konstanz,54,2.98,2.98,2.09,2.09,1,Social,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,4,3,0,0,0,0,0,5,1,0,S Stieger,8/19/14,1-5-2015,J Cohoon,1,"F(1, 34) = 5.89",36,prep = .93,,,ANOVA,interaction,Male participants whose faith in the federal system was threatened showed greater romantic interest in women who embody benevolent sexist ideals than in women who do not embody these ideals,__p^2 = 0.147,,50,66,80,Complete,50,0.8,9,J Matacotta,"F(1, 68) = 0.08",70,0.79,opposite,,ANOVA,interaction,no,0.93,__p^2 = .001,E Baranaski,,1,https://osf.io/cwkzu/,PhD or equivalent,2006,Assistant Professor (or equivalent),Some Expertise,Moderate Expertise,84,78,1015,was of moderately higher quality than the original study,was better than the average study,Extremely similar,"We used exactly the same materials (i.e., instruction, stories, pictures) than in the original study except translating the texts from English into German.",Not at all similar,Not at all similar,Moderately challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Quantitative,36,F,is,1,34,5.89,prep,0.93,0.02067727,0.02067727,,0.384260399,70,F,is,1,68,0.08,is,0.79,0.778156632,0.778156632,,-0.034279559,,2x2 ANOVA,ANOVA,,1,0,1,34,68,0.110689718,0,0
125,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.,"GP Lau, AC Kay, SJ Spencer",PS,19,1,20-jan,https://osf.io/b0vac/,"Adolescent, Adult, Canada, Cross-Cultural Comparison, Culture, Humans, Male, Politics, Prejudice, Rationalization, Social Change, Social Desirability, Socioeconomic Factors, Stereotyping",3,,Lau,54,University of Waterloo,Spencer,11032,University of Waterloo,,,,,,,54,2.98,2.98,,,,,,,,,,,,,,,,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
126,Bright children become enlightened adults,"IJ Deary, GD Batty, CR Gale",PS,19,1,6-jan,,"Adolescent, Adult, Child, Child Development, Cohort Studies, Educational Status, Female, Great Britain, Humans, Individuality, Intelligence, Male, Models, Psychological, Politics, Prejudice, Social Class, Social Justice, Social Values",3,,Deary,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,1,0,0,0,,,,J Cohoon,1,"X^2(33, N = 3412) = 274.4",3412,<.001,,,deviance test,chi square,"the model fit well for men, examining association between intelligence at age 10 and antitraditional attitudes at 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,3412,Chi2,is,33,,274.4,<,0.001,7.59E-40,7.59E-40,,0.283587799,,,,,,,,,,,,,,,,,,,,,,,,
127,A motion aftereffect from still photographs depicting motion,"J Winawer, AC Huk, L Boroditsky",PS,19,3,276-83,https://osf.io/mjasz/,"Attention, Cues, Figural Aftereffect, Humans, Imagination, Motion Perception, Orientation, Pattern Recognition, Visual, Photography, Psychophysics, Transfer (Psychology)",3,2,Winawer,2029,Stanford University,Boroditsky,5834,Stanford University,Levitan,378,Occidental College,Levitan,378,Occidental College,47,6.54,6.54,2.12,2.12,3,Cognitive,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.5,3,0,0,0,0,0,1,1,0,C Levitan,4/17/13,5/24/15,Lavine,3,t(28) = -4.978,29,0.00003,,2,paired sample t-test,main effect,Motion aftereffects were present following the presentation of a still photograph depicting motion,d = -.94,,12,15,18,Complete,32,0.99,9,P Whitehead,t(25)=-3.103,26,0.00471,same,,paired sample t-test,main effect,yes,0.99,d = -.62,,"original article statistic was recalulated, corresponds to their report t(28) = 4.98, p-value = 2.9e-5",1,https://osf.io/efu3h/,PhD or equivalent,2007,Assistant Professor (or equivalent),Some Expertise,Some Expertise,15,12,373,was about the same quality as the original study,was about the same as the average study,Extremely similar,none,Very similar,Very similar,Somewhat challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Cognitive,32,t,is,1,28,4.98,is,0,0.0000293,0.0000293,,0.685347348,26,t,is,1,25,-3.103,is,0.00471,0.004708112,0.004708112,,0.527307869,,paired sample t-test,paired sample t-test,,1,1,1,28,25,0.72020175,1,1
128,It takes two: The interpersonal nature of empathic accuracy,"J Zaki, N Bolger, K Ochsner",PS,19,4,399-404,https://osf.io/vj65s/,"Adult, Affect, Empathy, Female, Humans, Interpersonal Relations, Male, Questionnaires",3,1,Zaki,2041,Columbia University,Ochsner,17796,Columbia University,Tullett,215,University of Alabama,Tullett,215,University of Alabama,147,5.47,5.47,2.91,2.91,1,Social,1,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,1.8,2.6,0,,0,,0,1,0,0,A Tullett,8-1-2014,,J Cohoon,1,b = .14,33,<.02,,,regression,correlation,perceiver's trait affective empathy predicted accuracy for expressive (versus unexpressive) targets,X,,X,X,X,Unavailable,54,X,1,E Baranski,,,,,,,,,,,,,,,PhD or equivalent,2012,Assistant Professor (or equivalent),Moderate Expertise,Moderate Expertise,15,11,208,was of moderately higher quality than the original study,was about the same as the average study,Extremely similar,Use of different stimulus videos. Different population.,,,Moderately challenging,,X,1,No data used was pre-existing,Social,33,b,is,,,0.14,<,0.02,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
129,The threat of appearing prejudiced and race-based attentional biases.,"JA Richeson, S Trawalter",PS,19,2,98-102,https://osf.io/c5fza/,"Adult, Anxiety [psychology], Arousal [physiology], Attention, Attitude, Bias (Epidemiology), Facial Expression, Female, Humans, Male, Prejudice",2,1,Richeson,4539,Northwestern University,Richeson,4539,Northwestern University,Lai,127,University of Virginia,Lai,127,University of Virginia,75,4.42,4.42,4.36,4.36,1,Social,1,Some of both,Slight expertise required,Slight opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,4,3.33,0,0,0,0,0,1,1,0,C Lai,1-1-2012,8/15/13,Calvin Lai,1,"F(1, 26) = 4.17",28,prep = .92,,,mixed ANOVA,interaction,"High External Motivation (EM) participants exhibit attentional biases for neutral Black faces, but not happy Black faces.",d = 0.80,,50,64,78,Complete,78,0.95,1,J Joy Gaba,"F(1, 64) = .02",66,0.89,same,,mixed ANOVA,interaction,no,0.91,_2 = .00,C Eggleston,Author has responded and sent all relevant materials.,1,https://osf.io/wi6hv/,Master's degree or equivalent,2012,PhD student,High Expertise,Moderate Expertise,7,4,122,was of slightly lower quality than the original study,was better than the average study,Extremely similar,Slight differences in the stimuli used for the DV.,Not at all similar,Not at all similar,Somewhat challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,28,F,is,1,26,4.17,prep,0.92,0.051411614,0.051411614,,0.371775163,66,F,is,1,64,0.02,is,0.89,0.887981301,0.887981301,,0.017674908,,2x2x2 mixed ANOVA,2x2x2 mixed ANOVA,,1,0,1,26,64,0.123587161,0,0
130,The threat of appearing prejudiced and race-based attentional biases.,"JA Richeson, S Trawalter",PS,19,2,98-102,,"Adult, Anxiety [psychology], Arousal [physiology], Attention, Attitude, Bias (Epidemiology), Facial Expression, Female, Humans, Male, Prejudice",2,,Richeson,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
131,Finding words and rules in a speech stream: Functional differences between vowels and consonants,"JM Toro, M Nespor, J Mehler, LL Bonatti",PS,19,2,137-44,,"Adult, Attention, Female, Humans, Male, Phonetics, Speech Perception, Verbal Behavior, Vocabulary",4,,Toro,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
132,Where do we look during potentially offensive behavior?,"JR Crosby, B Monin, D Richardson",PS,19,3,226-8,https://osf.io/b98zw/,"African Continental Ancestry Group [psychology], Association, Attention, European Continental Ancestry Group [psychology], Eye Movements, Fixation, Ocular, Humans, Interpersonal Relations, Orientation, Prejudice, Social Identification",3,2,Crosby,331,Agnes Scott College,Richardson,2496,University of Reading,Skorinko,309,Worcester Polytechnic Institute,Jonas,361,University of Amsterdam,36,1.49,2.22,1.77,3.43,1,Social,1,Collected themselves,Extreme expertise required,No opportunity for researcher expectations to influence results,Extreme opportunity for lack of diligence to affect the results,3.67,3,0,0,0,0,0,3,1,0,K Jonas,7-11-2014,3/15/15,J Cohoon,1,"F(3, 69) = 5.15",25,<.005,,,mixed ANOVA,interaction,"When a White man made a potentially offensive comment in the presence of a Black man, participants would look at the Black man for a longer period of time if he could hear the comment than if he could not",__p^2 = .18,,26,32,38,Complete,32,0.9,4,H Fuchs,"F(1.48, 41.458) = 1.401",30,0.254,same,,mixed ANOVA,interaction,no,0.82,__p^2 = 0.0476,J Cohoon,,1,https://osf.io/3nay6/,PhD or equivalent,2002,Assistant Professor (or equivalent),High Expertise,High Expertise,47,35,607,was of slightly higher quality than the original study,was about the same as the average study,Virtually identical,"The cultural background of the participants is totally different. The original effect builds on a typical US university admission selection, highly competitive. Here we do not have such a procedure.",Moderately similar,Moderately similar,Not at all challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Social,25,F,is,3,69,5.15,<,0.005,0.002850691,0.002850691,,0.246947019,30,F,is,1.48,41.458,1.401,is,0.254,0.254170145,0.254170145,,0.179397898,,2x4 mixed ANOVA,2x4 ANOVA,,1,0,1,69,41.458,,0,
133,Adaptive memory: The comparative value of survival processing.,"JS Nairne, JN Pandeirada, SR Thompson",PS,19,2,176-80,https://osf.io/jhkpe/,"Adaptation, Physiological, Adaptation, Psychological, Humans, Memory [physiology], Survival, Vocabulary",3,2,Nairne,4482,Purdue University,Nairne,4482,Purdue University,MÙller,65,University of Erfurt,Renkewitz,520,University of Erfurt,191,4.43,4.43,1.65,1.65,2,Cognitive,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2.25,3.25,1,1,0,0,0,1,1,0,F Renkewitz,1-1-2012,11/17/12,F Renkewitz,2,"F(1, 23) = 5.7",24,"""significant""",,,RM ANOVA,main effect,Words rated for survival relevance were recalled more often.,__p^2 = .20,,10,13,16,Complete,24,0.99,1,S Fiedler,"F(1, 37) = 8.08",38,0.007,same,,RM ANOVA,main effect,yes,0.99,__p^2 = .18,G Jahn,Power calculations assume a correlation of r = .5 between repeated measures,1,https://osf.io/witg3/,PhD or equivalent,2004,Associate Professor (or equivalent),Some Expertise,Some Expertise,11,25,609,was about the same quality as the original study,was slightly better than the average study,Virtually identical,none,Virtually identical,Virtually identical,Slightly challenging,Results were slightly surprising,X,1,No data used was pre-existing,Cognitive,24,F,is,1,23,5.7,significant,,0.025570456,0.025570456,,0.445652636,38,F,is,1,37,8.08,is,0.007,0.007242548,0.007242548,,0.423363806,,repeated within ANOVA,ANOVA,,1,1,1,23,37,0.462206401,1,1
134,"Is happiness having what you want, wanting what you have, or both?","JT Larsen, AR McKibban",PS,19,4,371-7,https://osf.io/5dx4v/,"Adult, Attitude, Female, Happiness, Humans, Male, Pilot Projects, Quality of Life [psychology], Questionnaires",2,6,Larsen,5016,Texas Tech University,Larsen,5016,Texas Tech University,Seibel,0,University of Nijmegen,Seibel,0,University of Nijmegen,22,2.88,2.88,2.39,2.39,2,Social,1,Collected themselves,No expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2.67,4,1,1,0,0,0,1,1,0,L Seibel,3-1-2014,12/20/14,J Cohoon,2,pr = .21,119,prep = .92,,,Partial correlation,correlation,"Having what you want and wanting what you have account for unique variance in happiness; people who had what they wanted were happier than others, even after controlling for the degree to which they wanted what they had.",pr = .21,,175,234,289,Complete,175,0.8,1,B Lassetter,pr = 0.497,238,0.001,same,2,Partial correlation,correlation,yes,0.9,pr = 0.497,D Williams,,1,https://osf.io/qewvf/,Master's degree or equivalent,2013,Master's student,Some Expertise,Some Expertise,0,0,0,was about the same quality as the original study,was about the same as the average study,Extremely similar,"The population of the replication study consists of Dutch students while in the original study by Larsen and McKibban (2008) the population consisted of U.S undergraduates from a technical university. This could lead to differences in the Have/Want Survey. Indeed, our pilot study indicated that our sample named much more accomplishments and skills compared to the original U.S. sample, which named mostly material possessions. Thus, compared to the original Have/Want Survey, our Have/Want survey is much more balanced and includes accomplishments, skills, and interpersonal relationships. In the original study, paper and pencil questionnaires were distributed among the students in a class setting (between 5 and 30 students). The current study, however, distributed the questionnaires online. The original authors approved this change in procedure.",Extremely similar,Very similar,Not at all challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Psychopathology,119,t,is,1,115,2.303,prep,0.023,NA,0.023,,0.20996855,238,t,is,1,234,8.836,is,0.000001,2.41E-16,2.41E-16,,0.500179963,,Partial correlation,Partial correlations,,1,1,0,115,234,0.439026022,0,1
135,Implicit attitude generalization occurs immediately; explicit attitude generalization takes time,"KA Ranganath, BA Nosek",PS,19,3,249-54,https://osf.io/2gkjt/,"Adult, Association, Attitude, Decision Making, Feedback, Psychological, Female, Generalization, Response, Humans, Individuality, Interpersonal Relations, Judgment, Male, Mental Recall, Middle Aged, Personality Inventory, Social Behavior, Social Identification",2,1,Ranganath,800,University of Virginia,Nosek,16030,University of Virginia,Cohn,1875,"University of California, San Fransisco",Cohn,1875,"University of California, San Fransisco",65,4.36,4.36,3.81,3.81,1,Social,1,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.67,4.67,0,0,0,0,0,1,1,0,M Cohn,11/14/12,1-8-2015,J Cohoon,1,t(562) = -0.11,564,prep = .18,,,t-test,main effect,"""Participants were unable to prevent the information about the original individuals from influencing their implicit responses toward the new individuals. They automatically and immediately treated the individual group members as if they were interchangeable.""",d = -.004,,1644,2203,2722,Complete,2722,0.95,1,J Axt,t(3511.1) = -6.31,3597,0,same,2,t-test,main effect,no,0.99,d=.21,E Cremata,"uses usable n according to a priori inclusion rules, not total n recruited; also see notes below for info on post hoc exclusions",1,https://osf.io/m4xp8/,PhD or equivalent,2008,Post-doc or Research Scientist,Slight Expertise,Some Expertise,13,5,1875,was about the same quality as the original study,was worse than the average study,Extremely similar,I had to write a large amount of code for the Project Implicit platform without being familiar with it or having access to some critical documentation. There may have been errors introduced.,Moderately similar,Moderately similar,Very challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Social,684,t,is,1,562,-0.11,prep,0.18,0.912448643,0.912448643,,0.00464002,3597,t,is,1,3511.1,-6.31,is,0.00E+00,3.14E-10,3.14E-10,,0.105891025,,independent samples t-test,Welch's t-test,,0,1,0,562,3511.1,0.092282138,0,1
136,The value of believing in free will: Encouraging a belief in determinism increases cheating.,"KD Vohs, JW Schooler",PS,19,1,49-54,https://osf.io/i29mh/,"Culture, Deception, Female, Genetic Determinism, Humans, Internal-External Control, Male, Moral Development, Personal Autonomy, Persuasive Communication, Problem Solving, Social Environment",2,3,Vohs,19845,University of Minnesota,Vohs,19845,University of Minnesota,Embley,0,University of Kent,Giner-Sorolla,2052,University of Kent,341,3.64,3.64,2.61,2.61,2,Social,1,Collected themselves,Slight expertise required,Moderate opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.75,3.75,1,1,0,0,0,1,1,0,R Giner-Sorolla,1-1-2012,2/15/13,R Giner-Sorolla,1,t(28) = 3.04,30,<.01,,,independent samples t-test,main effect,"""Participants cheated more frequently after reading the anti-free-will essay than after reading the control essay""",d = .88,,44,58,70,Complete,58,0.9,2,M Motyl,t(56) = -.77,58,0.44,same,,independent samples t-test,main effect,no,0.91,d = .20,M Motyl,"We chose Study 1 because of the financial infeasibility of doing Study 2 with adequate power, given that participants could receive up to 15 USD pay and the original author alerted us to errors in the article's analysis pointed out by a reader after publication, so that the correct effect size was lower than that published.",1,https://osf.io/eyk8w/,PhD or equivalent,1996,Professor (or equivalent),High Expertise,High Expertise,44,33,2052,was of moderately higher quality than the original study,was slightly better than the average study,Very similar,Different participant population (though details of the participants were not provided in the original),,Not at all similar,Somewhat challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,30,t,is,1,28,3.04,<,0.01,0.005086904,0.005086904,,0.498149178,58,t,is,1,56,-0.77,is,0.44,0.444536036,0.444536036,,0.102355162,,independent samples t-test,t-test,,1,0,1,28,56,0.24895166,0,1
137,Do Today's Young People Really Think They Are So Extraordinary?,"KH Trzesniewski, MB Donnellan, RW Robins",PS,19,2,181-8,,"Adolescent, Adult, Female, Humans, Male, Narcissism, Personality Inventory, Schools, Self Concept, Students [psychology]",3,,Trzesniewski,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,1,0,0,0,,,,J Cohoon,1,X,26867,X,,,effect size,standardized difference in mean score,no evidence for a secular increase in NPI scores over time,d = -0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,26867,,,,,,,,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
138,The secret life of emotions.,"KI Ruys, DA Stapel",PS,19,4,385-91,,"Affect, Awareness, Cognition, Expressed Emotion, Humans, Unconscious (Psychology)",2,,Ruys,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,1,0,0,0,,,,J Cohoon,2,"F(2, 84) = 11.10",90,prep = 1.0,,,ANOVA,interaction,general mood effects appeared after both quick and super-quick exposures to disgusting and fearful stimuli,__p^2 = .21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,90,F,is,2,84,11.1,prep,1,5.28E-05,5.28E-05,,0.323295181,,,,,,,,,,,,,,,,,,,,,,,,
139,Auditory change detection: simple sounds are not memorized better than complex sounds,"L Demany, W Trost, M Serman, C Semal",PS,19,1,85-91,https://osf.io/ta3j8/,"Attention, Humans, Judgment, Mental Recall, Music, Pitch Perception, Psychoacoustics, Reaction Time, Sound Spectrography",4,2,Demany,1611,University of Bordeaux,Demany,1611,University of Bordeaux,Snyder,1339,"University of Nevada, Las Vegas",Snyder,1339,"University of Nevada, Las Vegas",27,1.98,1.98,2.47,2.47,5,Cognitive,1,Collected themselves,Strong expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4,3.5,3,3,0,0,0,1,1,0,J Snyder,7/22/14,2-1-2015,M Kidwell,5,"F(3, 9) = 8.5",4,0.005,,,ANOVA,main effect,"Mechanisms of change detection are dissimilar in vision and audition; specifically, auditory memory makes change detection easier in audition than in vision.",_^2 = .74,,3,3,5,Complete,5,0.99,1,M Brandt,"F(3,12)= 13.06",5,0,same,1,RM ANOVA,main effect,yes,0.95,__p^2 = .76,L Cramblet Alvarez,,1,https://osf.io/dw4xu/,PhD or equivalent,2003,Associate Professor (or equivalent),High Expertise,High Expertise,40,36,1322,was about the same quality as the original study,was about the same as the average study,Extremely similar,It's possible there was a little more background noise in the replication study due to using a single-walled sound booth instead of a double-walled booth.,Extremely similar,Extremely similar,Moderately challenging,Results were slightly surprising,X,1,No data used was pre-existing,Cognitive,4,F,is,3,9,8.5,is,0.005,0.005425227,0.002712614,,0.496363588,5,F,is,3,12,13.06,is,0,0.000435464,0.000217732,,0.505151268,,ANOVA,"Two way repeated measures ANOVA, with ISI [0, 250,750, 2000] and N [1, 2, 4, 7] as factors",,1,1,0,9,12,,1,
140,Keeping one's distance: The influence of spatial distance cues on affect and evaluation.,"LE Williams, JA Bargh",PS,19,3,302-8,https://osf.io/vnsqg/,"Adult, Affect, Cues, Culture, Dangerous Behavior, Energy Intake, Female, Food Habits [psychology], Humans, Judgment, Male, Object Attachment, Personal Space, Reading, Self-Assessment, Social Facilitation, Social Perception, Violence [psychology]",2,3,Williams,1465,Yale University,Bargh,45986,Yale University,Joy-Gaba,255,Virginia Commonwealth University,Joy-Gaba,255,Virginia Commonwealth University,219,6.56,6.56,2.38,2.38,4,Social,1,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4.6,3.6,3,3,0,0,0,1,1,0,J Joy Gaba,1-1-2012,6/15/12,Russ Clay,4,"F(2, 81) = 4.97",84,prep = .95,,,ANOVA,main effect,A distance prime can influence perceptions of closeness toward oneÍs family members and hometown.,__p^2 =.11,,84,108,129,Complete,129,0.95,see notes,K Ratliff,"F(2,122) = 0.24",125,0.787,same,,ANOVA,main effect,no,0.95,__p^2=.03,K Ratliff,Data had already been collected when requirement to get original authors assessment was added.,1,https://osf.io/85bnh/,PhD or equivalent,2011,Assistant Professor (or equivalent),Slight Expertise,Some Expertise,12,8,247,was about the same quality as the original study,was about the same as the average study,Virtually identical,none,Somewhat similar,Somewhat similar,Not at all challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Social,84,F,is,2,81,4.97,prep,0.95,0.009205933,0.009205933,,0.233776428,125,F,is,2,122,0.24,is,0.787,0.786998369,0.786998369,,0.044266281,,ANOVA,ANOVA,,1,0,1,81,122,,0,
141,Emotional valence and arousal interact in attentional control.,"LN Jefferies, D Smilek, E Eich, JT Enns",PS,19,3,290-5,https://osf.io/n2m7p/,"Affect, Arousal, Attentional Blink, Auditory Perception, Discrimination Learning, Humans, Memory, Short-Term, Music, Pattern Recognition, Visual, Reaction Time",4,1,Jefferies,217,University of British Columbia,Enns,10143,University of British Columbia,Tibboel,210,Ghent University,Tibboel,210,Ghent University,103,3.67,3.67,2.57,2.57,1,Cognitive,1,Collected themselves,Strong expertise required,Moderate opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,2.33,3,0,,0,,0,1,0,0,H Tibboel,9-5-2014,,M Kidwell,1,"F(1,91) = 4.05",100,<.05,,,ANOVA,interaction,strong effect of arousal for anxious and sad participants but none for happy and calm participants,__p^2 = 0.0426,,180,240,295,Complete,180,0.8,,A Calhoun Sauls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,100,F,is,1,91,4.05,<,0.05,0.047127477,0.047127477,,0.206419847,,,,,,,,,,,,,,,,,,,,,,,,
142,Hedonic and instrumental motives in anger regulation.,"M Tamir, C Mitchell, JJ Gross",PS,19,4,324-8,https://osf.io/k4y9i/,"Adult, Affect, Anger, Humans, Leisure Activities, Male, Motivation, Music, Social Control, Informal",3,1,Tamir,2114,Boston College,Gross,45085,Stanford University,Masicampo,983,Wake Forest University,Masicampo,983,Wake Forest University,138,3.98,6.54,3.08,3.08,1,Social,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,1.5,2.5,0,0,0,0,0,3,1,0,E Masicampo,7/17/14,3-3-2015,M Kidwell,1,"F(2, 162) = 192.89",82,<.001,,,RM ANOVA,interaction,ñPreferences for anger-inducing activities were higher than preferences for exciting and neutral activities when participants anticipated playing confrontational games.î,X,,X,X,7,Complete,82,0.99,1,A Laique,"F(2, 174) = 252.83",88,< .0001,same,,RM ANOVA,interaction,yes,0.99,_2 = .744,M Kidwell,,1,https://osf.io/mwgub/,PhD or equivalent,2010,Assistant Professor (or equivalent),High Expertise,Slight Expertise,28,16,976,was about the same quality as the original study,was about the same as the average study,Virtually identical,The video games that were used in the original study are rather old now and are probably not as fun or engaging for participants.,Extremely similar,Extremely similar,Slightly challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Social,82,F,is,2,162,192.89,<,0.001,1.39E-43,1.39E-43,,0.593405778,88,F,is,2,174,252.83,<,0.0001,3.30E-52,3.30E-52,,0.609913782,,RMANOVA,Repeated measures ANOVA,,1,1,0,162,174,,1,
